,lambd,p,nnz,k
214,0.125,64,,64.0
215,0.125,64,,64.0
216,0.125,64,,64.0
217,0.125,64,,28.0
218,0.125,64,,64.0
219,0.125,64,,64.0
220,0.125,64,,64.0
221,0.125,64,,64.0
222,0.125,64,,64.0
223,0.125,64,,23.0
224,0.125,64,,22.0
225,0.125,64,,64.0
226,0.125,64,,64.0
227,0.125,64,,39.0
228,0.125,64,,64.0
229,0.125,64,,45.0
230,0.125,64,,64.0
231,0.125,64,,64.0
232,0.125,64,,39.0
233,0.125,64,,64.0
234,0.125,64,,64.0
235,0.125,64,,64.0
236,0.125,64,,64.0
237,0.125,64,,16.0
238,0.125,64,,29.0
239,0.125,64,,64.0
240,0.125,64,,30.0
241,0.125,64,,64.0
242,0.125,64,,64.0
243,0.125,64,,64.0
244,0.125,64,,64.0
245,0.125,64,,64.0
246,0.125,64,,64.0
247,0.125,64,,64.0
248,0.125,64,,64.0
249,0.125,64,,45.0
250,0.125,64,,61.0
251,0.125,64,,64.0
252,0.125,64,,15.0
253,0.125,64,,17.0
254,0.125,64,,13.0
255,0.125,64,,64.0
256,0.125,64,,64.0
257,0.125,64,,61.0
258,0.125,64,,64.0
259,0.125,64,,64.0
260,0.125,64,,29.0
261,0.125,64,,23.0
262,0.125,64,,64.0
263,0.125,64,,64.0
264,0.125,64,,64.0
265,0.125,64,,64.0
266,0.125,64,,64.0
267,0.125,64,,64.0
268,0.125,64,,64.0
269,0.125,64,,2.0
270,0.125,64,,64.0
271,0.125,64,,64.0
272,0.125,64,,64.0
273,0.125,64,,64.0
274,0.125,64,,43.0
275,0.125,64,,64.0
276,0.125,64,,53.0
277,0.125,64,,64.0
278,0.125,64,,45.0
279,0.125,64,,64.0
280,0.125,64,,48.0
281,0.125,64,,64.0
282,0.125,64,,64.0
283,0.125,64,,61.0
284,0.125,64,,29.0
285,0.125,64,,0.0
286,0.125,64,,41.0
287,0.125,64,,64.0
288,0.125,64,,64.0
289,0.125,64,,64.0
290,0.125,64,,64.0
291,0.125,64,,46.0
292,0.125,64,,64.0
293,0.125,64,,64.0
294,0.125,64,,58.0
295,0.125,64,,64.0
296,0.125,64,,64.0
297,0.125,64,,64.0
298,0.125,64,,64.0
299,0.125,64,,22.0
300,0.125,64,,11.0
301,0.125,64,,22.0
302,0.125,64,,49.0
303,0.125,64,,64.0
304,0.125,64,,64.0
305,0.125,64,,64.0
306,0.125,64,,64.0
