,lambd,p,nnz,k
214,0.375,64,,64.0
215,0.375,64,,64.0
216,0.375,64,,64.0
217,0.375,64,,64.0
218,0.375,64,,64.0
219,0.375,64,,34.0
220,0.375,64,,64.0
221,0.375,64,,43.0
222,0.375,64,,64.0
223,0.375,64,,17.0
224,0.375,64,,18.0
225,0.375,64,,24.0
226,0.375,64,,64.0
227,0.375,64,,64.0
228,0.375,64,,30.0
229,0.375,64,,52.0
230,0.375,64,,64.0
231,0.375,64,,25.0
232,0.375,64,,48.0
233,0.375,64,,47.0
234,0.375,64,,64.0
235,0.375,64,,64.0
236,0.375,64,,64.0
237,0.375,64,,54.0
238,0.375,64,,14.0
239,0.375,64,,44.0
240,0.375,64,,42.0
241,0.375,64,,64.0
242,0.375,64,,62.0
243,0.375,64,,64.0
244,0.375,64,,64.0
245,0.375,64,,64.0
246,0.375,64,,64.0
247,0.375,64,,64.0
248,0.375,64,,64.0
249,0.375,64,,40.0
250,0.375,64,,22.0
251,0.375,64,,64.0
252,0.375,64,,33.0
253,0.375,64,,21.0
254,0.375,64,,27.0
255,0.375,64,,64.0
256,0.375,64,,64.0
257,0.375,64,,64.0
258,0.375,64,,64.0
259,0.375,64,,64.0
260,0.375,64,,12.0
261,0.375,64,,29.0
262,0.375,64,,23.0
263,0.375,64,,64.0
264,0.375,64,,64.0
265,0.375,64,,64.0
266,0.375,64,,18.0
267,0.375,64,,64.0
268,0.375,64,,64.0
269,0.375,64,,58.0
270,0.375,64,,64.0
271,0.375,64,,56.0
272,0.375,64,,63.0
273,0.375,64,,64.0
274,0.375,64,,64.0
275,0.375,64,,64.0
276,0.375,64,,24.0
277,0.375,64,,64.0
278,0.375,64,,64.0
279,0.375,64,,42.0
280,0.375,64,,37.0
281,0.375,64,,64.0
282,0.375,64,,29.0
283,0.375,64,,40.0
284,0.375,64,,64.0
285,0.375,64,,6.0
286,0.375,64,,33.0
287,0.375,64,,51.0
288,0.375,64,,64.0
289,0.375,64,,59.0
290,0.375,64,,64.0
291,0.375,64,,28.0
292,0.375,64,,24.0
293,0.375,64,,64.0
294,0.375,64,,30.0
295,0.375,64,,64.0
296,0.375,64,,64.0
297,0.375,64,,64.0
298,0.375,64,,64.0
299,0.375,64,,64.0
300,0.375,64,,27.0
301,0.375,64,,24.0
302,0.375,64,,44.0
303,0.375,64,,64.0
304,0.375,64,,64.0
305,0.375,64,,62.0
306,0.375,64,,30.0
307,0.375,64,,36.0
308,0.375,64,,34.0
309,0.375,64,,64.0
310,0.375,64,,64.0
311,0.375,64,,14.0
312,0.375,64,,64.0
313,0.375,64,,49.0
314,0.375,64,,15.0
315,0.375,64,,64.0
316,0.375,64,,36.0
317,0.375,64,,64.0
318,0.375,64,,64.0
319,0.375,64,,64.0
320,0.375,64,,64.0
321,0.375,64,,19.0
322,0.375,64,,18.0
323,0.375,64,,18.0
324,0.375,64,,53.0
325,0.375,64,,24.0
326,0.375,64,,45.0
327,0.375,64,,64.0
328,0.375,64,,12.0
329,0.375,64,,26.0
